Time_Sec,embb_Norm_availability,embb_Fault_availability,embb_Res_availability,embb_Norm_throughput,embb_Fault_throughput,embb_Res_throughput,embb_Norm_blocking,embb_Fault_blocking,embb_Res_blocking,embb_Norm_connected_count,embb_Fault_connected_count,embb_Res_connected_count,urllc_Norm_availability,urllc_Fault_availability,urllc_Res_availability,urllc_Norm_throughput,urllc_Fault_throughput,urllc_Res_throughput,urllc_Norm_blocking,urllc_Fault_blocking,urllc_Res_blocking,urllc_Norm_connected_count,urllc_Fault_connected_count,urllc_Res_connected_count,mmtc_Norm_availability,mmtc_Fault_availability,mmtc_Res_availability,mmtc_Norm_throughput,mmtc_Fault_throughput,mmtc_Res_throughput,mmtc_Norm_blocking,mmtc_Fault_blocking,mmtc_Res_blocking,mmtc_Norm_connected_count,mmtc_Fault_connected_count,mmtc_Res_connected_count
10,0.39593908629441626,0.40609137055837563,0.39593908629441626,26.045197,28.09194833333333,36.029535,0.9146919431279621,0.9305555555555556,0.8930232558139535,78,80,78,0.6037735849056604,0.7264150943396226,0.7264150943396226,2.812728317460317,2.240458682539683,2.4821524603174603,0.0,0.010526315789473684,0.0,64,77,77,0.5634517766497462,0.6192893401015228,0.6649746192893401,0.992383,0.829828,0.709201,0.19095477386934673,0.13658536585365855,0.03783783783783784,111,122,131
11,0.39593908629441626,0.39593908629441626,0.39086294416243655,27.758188,28.216993,29.69855,0.9305555555555556,0.90625,0.8663793103448276,78,78,77,0.5943396226415094,0.7358490566037735,0.7075471698113207,2.660740793650793,3.246830666666667,3.320195095238095,0.0,0.0,0.0,63,78,75,0.5279187817258884,0.6192893401015228,0.6700507614213198,0.934942,0.900544,0.641491,0.2171945701357466,0.12871287128712872,0.0213903743315508,104,122,132
12,0.4010152284263959,0.4010152284263959,0.4010152284263959,26.348168333333334,28.592637,30.70894,0.8820960698689956,0.91324200913242,0.8666666666666667,79,79,79,0.5849056603773585,0.7169811320754716,0.6886792452830188,2.917032650793651,3.2147314603174606,2.8433244603174597,0.0,0.010416666666666666,0.0,62,76,73,0.49238578680203043,0.5989847715736041,0.6649746192893401,0.761641,0.974087,0.682053,0.22767857142857142,0.12871287128712872,0.02717391304347826,97,118,131
13,0.4010152284263959,0.4010152284263959,0.39086294416243655,27.608196,25.997395,37.645064,0.9181818181818182,0.9569377990430622,0.8818181818181818,79,79,77,0.6037735849056604,0.7547169811320755,0.7169811320754716,3.086894222222222,3.022099317460318,2.7615587474747474,0.0,0.020833333333333332,0.0,64,80,76,0.49238578680203043,0.6040609137055838,0.6751269035532995,0.699366,0.944386,0.651445,0.22767857142857142,0.10256410256410256,0.022222222222222223,97,119,133
14,0.4010152284263959,0.4010152284263959,0.39593908629441626,22.49215,23.494129,31.353974,0.9354838709677419,0.8836206896551724,0.908256880733945,79,79,78,0.6320754716981132,0.7452830188679245,0.7641509433962265,3.1970925396825396,2.8419431111111115,2.8684346623376618,0.0,0.020833333333333332,0.0,67,79,81,0.5228426395939086,0.6192893401015228,0.6954314720812182,0.602944,0.902833,0.604823,0.21973094170403587,0.078125,0.04395604395604396,103,122,137
15,0.4010152284263959,0.38578680203045684,0.38578680203045684,22.905635,22.221669,36.404103,0.911504424778761,0.9209302325581395,0.8837209302325582,79,76,76,0.6320754716981132,0.7547169811320755,0.7452830188679245,2.925312253968254,3.0364677777777787,2.87868611111111,0.01098901098901099,0.019801980198019802,0.0,67,80,79,0.583756345177665,0.6192893401015228,0.6954314720812182,0.539307,0.913808,0.632354,0.2391304347826087,0.08994708994708994,0.02247191011235955,115,122,137
16,0.38071065989847713,0.39593908629441626,0.39086294416243655,23.14970033333333,25.745002333333332,38.449015,0.9339622641509434,0.9241706161137441,0.9212962962962963,75,78,77,0.6415094339622641,0.6981132075471698,0.6981132075471698,3.6285574603174604,2.5914426825396832,3.1288599538239525,0.021052631578947368,0.0,0.0,68,74,74,0.6649746192893401,0.6243654822335025,0.700507614213198,0.541561,0.833021,0.629187,0.23766816143497757,0.06914893617021277,0.00558659217877095,131,123,138
17,0.4010152284263959,0.39593908629441626,0.39593908629441626,24.01967033333333,22.852888,38.993182,0.90625,0.9230769230769231,0.9,79,78,78,0.6415094339622641,0.7075471698113207,0.7358490566037735,3.6363050952380953,3.4102871111111126,3.0492134747474724,0.01020408163265306,0.030612244897959183,0.0,68,75,78,0.700507614213198,0.6294416243654822,0.700507614213198,0.589714,0.852846,0.610672,0.2706422018348624,0.07446808510638298,0.0,138,124,138
18,0.39086294416243655,0.39593908629441626,0.39593908629441626,27.235481333333333,26.11306833333333,34.781728,0.9112149532710281,0.9269406392694064,0.9045454545454545,77,78,78,0.6509433962264151,0.7264150943396226,0.7547169811320755,2.962734,3.3355574603174616,3.2045412669552653,0.031578947368421054,0.02040816326530612,0.0,69,77,80,0.7157360406091371,0.6192893401015228,0.6954314720812182,0.615115,0.95472,0.607425,0.26540284360189575,0.08465608465608465,0.005555555555555556,141,122,137
19,0.4010152284263959,0.39593908629441626,0.39593908629441626,31.098116333333333,29.315456333333334,35.579024,0.9308755760368663,0.9209302325581395,0.8789237668161435,79,78,78,0.6415094339622641,0.7641509433962265,0.7830188679245284,3.1804355396825392,3.457390206349208,3.1558530225330204,0.043478260869565216,0.047619047619047616,0.0,68,81,83,0.700507614213198,0.6294416243654822,0.6903553299492385,0.730132,0.986021,0.639076,0.25742574257425743,0.07731958762886598,0.005494505494505495,138,124,136
