Time_Sec,embb_Norm_availability,embb_Fault_availability,embb_Res_availability,embb_Norm_throughput,embb_Fault_throughput,embb_Res_throughput,embb_Norm_blocking,embb_Fault_blocking,embb_Res_blocking,embb_Norm_connected_count,embb_Fault_connected_count,embb_Res_connected_count,urllc_Norm_availability,urllc_Fault_availability,urllc_Res_availability,urllc_Norm_throughput,urllc_Fault_throughput,urllc_Res_throughput,urllc_Norm_blocking,urllc_Fault_blocking,urllc_Res_blocking,urllc_Norm_connected_count,urllc_Fault_connected_count,urllc_Res_connected_count,mmtc_Norm_availability,mmtc_Fault_availability,mmtc_Res_availability,mmtc_Norm_throughput,mmtc_Fault_throughput,mmtc_Res_throughput,mmtc_Norm_blocking,mmtc_Fault_blocking,mmtc_Res_blocking,mmtc_Norm_connected_count,mmtc_Fault_connected_count,mmtc_Res_connected_count
0,0.0,0.21875,0.21875,0.0,0.0,0.0,0.0,0.06666666666666667,0.06666666666666667,0,42,42,0.0,0.17142857142857143,0.17142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0,18,18,0.0,0.22660098522167488,0.22660098522167488,0.0,0.0,0.0,0.0,0.0,0.0,0,46,46
1,0.40625,0.5,0.5,0.0,29.743928571428583,32.193428571428576,0.15217391304347827,0.6847826086956522,0.6902173913043478,78,96,96,0.4,0.6857142857142857,0.638095238095238,0.0,2.9248971558441563,2.785415,0.0,0.03,0.0297029702970297,42,72,67,0.4039408866995074,0.5960591133004927,0.5960591133004927,0.0,0.469075,0.465479,0.03529411764705882,0.14871794871794872,0.14432989690721648,82,121,121
2,0.5,0.5,0.5,41.99142857142859,28.850272619047626,29.828242428571432,0.8888888888888888,1.0,0.9573170731707317,96,96,96,0.4380952380952381,0.6857142857142857,0.6476190476190476,0.5785444545454546,2.6136783174603178,2.678753,0.03296703296703297,0.0,0.010309278350515464,46,72,68,0.46798029556650245,0.5911330049261084,0.5862068965517241,0.087312,0.572048,0.542059,0.2028301886792453,0.13917525773195877,0.15151515151515152,95,120,119
3,0.5,0.4947916666666667,0.5,41.7410232857143,25.739305142857145,24.814400714285714,1.0,0.903954802259887,0.9132947976878613,96,95,96,0.5047619047619047,0.6952380952380952,0.6571428571428571,1.1597025714285714,2.042945,2.408731,0.0,0.0,0.0,53,73,69,0.5024630541871922,0.6009852216748769,0.5763546798029556,0.310655,0.547242,0.484104,0.17412935323383086,0.135678391959799,0.15920398009950248,102,122,117
4,0.4947916666666667,0.4947916666666667,0.484375,34.62895142857143,28.07246228571429,25.809363714285716,0.930635838150289,0.8932584269662921,0.8700564971751412,95,95,93,0.5238095238095238,0.7142857142857143,0.6857142857142857,1.6413275714285713,1.7930564603174604,2.78492,0.0,0.0,0.0,55,75,72,0.5221674876847291,0.5862068965517241,0.5714285714285714,0.311477,0.457428,0.486461,0.15920398009950248,0.14925373134328357,0.1625615763546798,106,119,116
5,0.5,0.4947916666666667,0.4947916666666667,31.10219414285714,26.030419047619045,28.593186000000003,0.9116022099447514,0.936046511627907,0.9106145251396648,96,95,95,0.5904761904761905,0.7238095238095238,0.6952380952380952,2.358610888888889,2.0411495714285715,2.620887,0.0,0.0,0.0,62,76,73,0.5320197044334976,0.6009852216748769,0.5714285714285714,0.24983,0.517625,0.532554,0.15841584158415842,0.18536585365853658,0.1890547263681592,108,122,116
6,0.4947916666666667,0.484375,0.5,27.310321857142867,23.124632714285724,30.766652714285712,0.9101123595505618,0.8594594594594595,0.9171597633136095,95,93,96,0.5904761904761905,0.7238095238095238,0.6952380952380952,2.2324499206349206,2.374291317460318,2.662103,0.0,0.0,0.0,62,76,73,0.5517241379310345,0.6059113300492611,0.5665024630541872,0.255694,0.640448,0.673272,0.14871794871794872,0.12631578947368421,0.15025906735751296,112,123,115
7,0.4947916666666667,0.4895833333333333,0.4947916666666667,21.050137571428575,22.51584028571429,27.901618857142857,0.8894736842105263,0.8563829787234043,0.8877005347593583,95,94,95,0.638095238095238,0.7238095238095238,0.6857142857142857,2.43276134920635,2.456549844155844,2.323083,0.0,0.0,0.0,67,76,72,0.5566502463054187,0.6157635467980296,0.5812807881773399,0.393201,0.652221,0.636477,0.07909604519774012,0.1319796954314721,0.13636363636363635,113,125,118
8,0.4947916666666667,0.5,0.4947916666666667,16.79448457142859,24.060221000000016,24.95205328571428,0.8341708542713567,0.9090909090909091,0.8770053475935828,95,96,95,0.6571428571428571,0.7047619047619048,0.6761904761904762,2.3834360000000006,2.5559383116883123,2.454343,0.0,0.010526315789473684,0.0,69,74,71,0.5615763546798029,0.625615763546798,0.5911330049261084,0.330765,0.560402,0.678874,0.0748663101604278,0.1319796954314721,0.14146341463414633,114,127,120
9,0.5,0.4947916666666667,0.5,19.889855285714305,26.0037742857143,23.268593142857153,0.8858695652173914,0.9021739130434783,0.8716577540106952,96,95,96,0.6571428571428571,0.7047619047619048,0.6666666666666666,2.751714142857143,2.15750353968254,2.517438,0.0,0.0,0.0,69,74,70,0.5714285714285714,0.6403940886699507,0.5862068965517241,0.265404,0.621198,0.688321,0.0851063829787234,0.16326530612244897,0.15609756097560976,116,130,119
