Time_Sec,embb_Norm_availability,embb_Fault_availability,embb_Res_availability,embb_Norm_throughput,embb_Fault_throughput,embb_Res_throughput,embb_Norm_blocking,embb_Fault_blocking,embb_Res_blocking,embb_Norm_connected_count,embb_Fault_connected_count,embb_Res_connected_count,urllc_Norm_availability,urllc_Fault_availability,urllc_Res_availability,urllc_Norm_throughput,urllc_Fault_throughput,urllc_Res_throughput,urllc_Norm_blocking,urllc_Fault_blocking,urllc_Res_blocking,urllc_Norm_connected_count,urllc_Fault_connected_count,urllc_Res_connected_count,mmtc_Norm_availability,mmtc_Fault_availability,mmtc_Res_availability,mmtc_Norm_throughput,mmtc_Fault_throughput,mmtc_Res_throughput,mmtc_Norm_blocking,mmtc_Fault_blocking,mmtc_Res_blocking,mmtc_Norm_connected_count,mmtc_Fault_connected_count,mmtc_Res_connected_count
10,0.4166666666666667,0.40625,0.4114583333333333,27.490582333333332,15.99413,24.530596,0.9146919431279621,0.8783783783783784,0.9198113207547169,80,78,79,0.638095238095238,0.6476190476190476,0.6476190476190476,2.7104478571428574,2.584326428571429,2.937241,0.0,0.0,0.0,67,68,68,0.5517241379310345,0.5714285714285714,0.5566502463054187,0.714054,0.696882,0.690667,0.18571428571428572,0.13636363636363635,0.15228426395939088,112,116,113
11,0.4166666666666667,0.4166666666666667,0.4166666666666667,30.086467,20.971503,26.432491,0.9186602870813397,0.9116279069767442,0.9128440366972477,80,80,80,0.5714285714285714,0.6666666666666666,0.6571428571428571,2.8833716825396825,2.8559341111111114,2.843431,0.0,0.0,0.0,60,70,69,0.5517241379310345,0.5960591133004927,0.5714285714285714,0.727875,0.608353,0.713858,0.1784037558685446,0.13942307692307693,0.16585365853658537,112,121,116
12,0.4114583333333333,0.4166666666666667,0.40625,28.433495333333333,24.268119,30.720784,0.9295774647887324,0.9420289855072463,0.9509803921568627,79,80,78,0.638095238095238,0.6761904761904762,0.6761904761904762,3.2764743174603175,3.1867515396825405,3.629852,0.0,0.0,0.0,67,71,71,0.5123152709359606,0.5960591133004927,0.5763546798029556,0.704924,0.554877,0.696715,0.17412935323383086,0.1724137931034483,0.15577889447236182,104,121,117
13,0.40625,0.4166666666666667,0.4114583333333333,27.331006,24.673196,27.982106,0.9428571428571428,0.9178743961352657,0.8837209302325582,78,80,79,0.6761904761904762,0.6666666666666666,0.6666666666666666,3.422413666666667,3.3508250000000004,3.176687,0.0,0.0,0.0,71,70,70,0.5123152709359606,0.5911330049261084,0.5862068965517241,0.619435,0.732593,0.802019,0.19248826291079812,0.18781725888324874,0.175,104,120,119
14,0.4114583333333333,0.40625,0.4166666666666667,26.144072,27.66579,30.634198,0.8874458874458875,0.9146919431279621,0.909952606635071,79,78,80,0.6476190476190476,0.6476190476190476,0.6761904761904762,3.529892079365079,3.3089024285714292,3.011119,0.0,0.0,0.0,68,68,71,0.5270935960591133,0.5812807881773399,0.5812807881773399,0.5663,0.688788,0.762957,0.17452830188679244,0.1691542288557214,0.18048780487804877,107,118,118
15,0.4114583333333333,0.4114583333333333,0.4114583333333333,23.570357,23.812166,26.656607,0.9308755760368663,0.9120370370370371,0.9471153846153846,79,79,79,0.6476190476190476,0.6285714285714286,0.6761904761904762,3.070423349206349,3.133180460317461,3.404415,0.0,0.0,0.0,68,66,71,0.541871921182266,0.5763546798029556,0.5714285714285714,0.5739,0.545622,0.740246,0.1796116504854369,0.14285714285714285,0.20772946859903382,110,117,116
16,0.40625,0.4166666666666667,0.4166666666666667,21.060152,23.327753,28.474229,0.9170506912442397,0.9023255813953488,0.9142857142857143,78,80,80,0.638095238095238,0.6476190476190476,0.7142857142857143,3.28686546031746,3.118188571428572,3.330668,0.0,0.0,0.0,67,68,75,0.5812807881773399,0.5960591133004927,0.5763546798029556,0.621337,0.554103,0.861702,0.18691588785046728,0.15920398009950248,0.19902912621359223,118,121,117
17,0.4114583333333333,0.4114583333333333,0.4114583333333333,24.58846,20.792539,27.510078,0.9223744292237442,0.909952606635071,0.9014084507042254,79,79,79,0.6476190476190476,0.638095238095238,0.7238095238095238,3.5210074285714286,2.898223571428572,3.32301,0.0,0.0,0.0,68,67,76,0.5862068965517241,0.5763546798029556,0.5812807881773399,0.652062,0.695679,0.779417,0.2,0.14358974358974358,0.1784037558685446,119,117,118
18,0.4114583333333333,0.4114583333333333,0.4166666666666667,24.770667333333332,24.210164,22.828427,0.9099099099099099,0.9150943396226415,0.909952606635071,79,79,80,0.6571428571428571,0.6285714285714286,0.7333333333333333,3.0873419999999996,3.141529857142858,3.078547,0.0,0.0,0.0,69,66,77,0.5862068965517241,0.5763546798029556,0.5812807881773399,0.750226,0.684335,0.791428,0.21904761904761905,0.12041884816753927,0.22685185185185186,119,117,118
19,0.4114583333333333,0.4166666666666667,0.4114583333333333,23.978353,24.44190833333333,28.554641,0.9488372093023256,0.9285714285714286,0.9405940594059405,79,80,79,0.6190476190476191,0.6190476190476191,0.7333333333333333,2.9621899999999997,2.6034661111111115,2.956565,0.0,0.0,0.0,65,65,77,0.5714285714285714,0.5763546798029556,0.5763546798029556,0.7908,0.638541,0.894579,0.22009569377990432,0.13861386138613863,0.24413145539906103,116,117,117
20,0.40625,0.4114583333333333,0.4166666666666667,22.999906,24.178135,26.612625,0.9315068493150684,0.8947368421052632,0.9086538461538461,78,79,80,0.6571428571428571,0.6190476190476191,0.7142857142857143,3.0485017777777776,3.0721930000000004,3.580628,0.0,0.010638297872340425,0.0,69,65,75,0.5862068965517241,0.5812807881773399,0.5812807881773399,0.77776,0.599938,1.074953,0.20574162679425836,0.13636363636363635,0.18719211822660098,119,118,118
21,0.4114583333333333,0.40625,0.3958333333333333,24.962457,24.32143333333333,29.406764,0.9305555555555556,0.9425837320574163,0.9292452830188679,79,78,76,0.6571428571428571,0.638095238095238,0.7047619047619048,2.9719742222222214,2.9561090000000005,3.290802,0.0,0.0,0.0,69,67,74,0.5812807881773399,0.5911330049261084,0.5763546798029556,0.894857,0.656476,1.060722,0.22488038277511962,0.1485148514851485,0.1778846153846154,118,120,117
22,0.4114583333333333,0.4166666666666667,0.4166666666666667,21.846059333333336,24.908067,30.965454,0.8841201716738197,0.9458128078817734,0.9299065420560748,79,80,80,0.6476190476190476,0.6666666666666666,0.7047619047619048,3.7540652063492055,3.0011160000000006,3.257743,0.0,0.0,0.0,68,70,74,0.5911330049261084,0.5911330049261084,0.5566502463054187,0.946663,0.730845,1.055412,0.23148148148148148,0.14646464646464646,0.18357487922705315,120,120,113
23,0.4114583333333333,0.4114583333333333,0.40625,24.056934333333334,19.750082,34.53483633333334,0.9074074074074074,0.9112149532710281,0.9289099526066351,79,79,78,0.638095238095238,0.6476190476190476,0.6857142857142857,3.130825428571428,3.2056024285714293,3.167438,0.0,0.0,0.0,67,68,72,0.5911330049261084,0.5812807881773399,0.5517241379310345,0.925138,0.753049,1.010184,0.22685185185185186,0.17560975609756097,0.21100917431192662,120,118,112
24,0.4114583333333333,0.4114583333333333,0.4166666666666667,26.318805,22.027646,32.197718,0.941747572815534,0.9061032863849765,0.8858447488584474,79,79,80,0.638095238095238,0.6285714285714286,0.6761904761904762,2.70893311111111,3.3528602222222226,3.446385,0.0,0.0,0.0,67,66,71,0.5862068965517241,0.5665024630541872,0.5714285714285714,0.912122,0.770859,0.971785,0.2358490566037736,0.14795918367346939,0.18009478672985782,119,115,116
25,0.4010416666666667,0.4114583333333333,0.4166666666666667,26.361134333333332,21.637723,32.461206,0.9238095238095239,0.9223300970873787,0.9433962264150944,77,79,80,0.6,0.638095238095238,0.6666666666666666,3.0682094444444434,3.2659800000000003,3.065158,0.0,0.0,0.0,63,67,70,0.5862068965517241,0.5812807881773399,0.5862068965517241,0.932089,0.833197,1.035001,0.22169811320754718,0.1134020618556701,0.20853080568720378,119,118,119
26,0.390625,0.4114583333333333,0.4166666666666667,26.896884,25.732586,28.865084,0.9009009009009009,0.9086538461538461,0.9299065420560748,75,79,80,0.6285714285714286,0.6476190476190476,0.6571428571428571,3.49653346031746,2.6587276825396833,3.326259,0.0,0.0,0.0,66,68,69,0.5911330049261084,0.5665024630541872,0.5911330049261084,0.920797,0.82544,1.078378,0.2318840579710145,0.10106382978723404,0.19617224880382775,120,115,120
27,0.40625,0.4010416666666667,0.4166666666666667,22.38606,27.53102,27.056093333333333,0.9420289855072463,0.9282296650717703,0.9330143540669856,78,77,80,0.6476190476190476,0.6666666666666666,0.6571428571428571,3.408340428571428,2.730989571428572,3.544148,0.0,0.0,0.0,68,70,69,0.5862068965517241,0.5812807881773399,0.5911330049261084,1.011687,0.777796,1.089434,0.21359223300970873,0.1306532663316583,0.1895734597156398,119,118,120
28,0.40625,0.40625,0.40625,19.022539,24.627114,27.052069,0.9198113207547169,0.9248826291079812,0.9271844660194175,78,78,78,0.6476190476190476,0.6666666666666666,0.6666666666666666,3.0413499999999996,2.944073000000001,3.593236,0.0,0.0,0.0,68,70,70,0.5911330049261084,0.5812807881773399,0.5911330049261084,1.065043,0.817719,1.028658,0.2087378640776699,0.15920398009950248,0.17452830188679244,120,118,120
29,0.4010416666666667,0.4166666666666667,0.4114583333333333,20.036979666666667,23.030256,27.713822,0.9305555555555556,0.9120370370370371,0.9130434782608695,77,80,79,0.6190476190476191,0.6476190476190476,0.6666666666666666,3.378819682539682,3.0664745714285724,3.595241,0.0,0.0,0.0,65,68,70,0.5665024630541872,0.5960591133004927,0.5862068965517241,1.0337,0.831402,1.037149,0.2146341463414634,0.13793103448275862,0.18571428571428572,115,121,119
30,0.40625,0.4166666666666667,0.4166666666666667,20.112694,21.628402,29.705888,0.9142857142857143,0.9245283018867925,0.9323671497584541,78,80,80,0.6190476190476191,0.6571428571428571,0.6761904761904762,3.4593469999999997,3.61105288888889,3.311488,0.0,0.0,0.0,65,69,71,0.5665024630541872,0.5862068965517241,0.5862068965517241,1.027906,0.752024,0.996103,0.21568627450980393,0.15458937198067632,0.18867924528301888,115,119,119
31,0.4010416666666667,0.4114583333333333,0.4010416666666667,22.266221,22.318228,29.357379,0.9414634146341463,0.964824120603015,0.9033816425120773,77,79,77,0.6285714285714286,0.6761904761904762,0.6857142857142857,3.126953111111111,3.3266825714285724,3.025702,0.0,0.0,0.0,66,71,72,0.5763546798029556,0.5960591133004927,0.5812807881773399,1.001524,0.761227,1.050702,0.2347417840375587,0.19718309859154928,0.1902439024390244,117,121,118
32,0.3958333333333333,0.40625,0.4114583333333333,23.635109,23.913291,28.90604,0.9069767441860465,0.8918918918918919,0.9320388349514563,76,78,79,0.6190476190476191,0.6857142857142857,0.6857142857142857,3.67318953968254,2.6998070000000007,3.465934,0.0,0.0,0.0,65,72,72,0.5812807881773399,0.6009852216748769,0.5911330049261084,1.079677,0.676602,1.078174,0.2626728110599078,0.1792452830188679,0.1218274111675127,118,122,120
33,0.40625,0.4166666666666667,0.4114583333333333,26.0539,24.325,28.775472,0.9386792452830188,0.9009433962264151,0.9556650246305419,78,80,79,0.6476190476190476,0.6666666666666666,0.6571428571428571,3.681385,2.936360111111112,2.999589,0.0,0.010526315789473684,0.0,68,70,69,0.5763546798029556,0.625615763546798,0.5960591133004927,1.063368,0.783713,1.098089,0.24644549763033174,0.19907407407407407,0.17,117,127,121
34,0.40625,0.4166666666666667,0.4166666666666667,27.597255,28.679378,29.82665233333333,0.937799043062201,0.9552238805970149,0.912621359223301,78,80,80,0.6666666666666666,0.6761904761904762,0.6476190476190476,2.911644,2.4337825714285723,3.10024,0.0,0.0,0.0,70,71,68,0.5763546798029556,0.6354679802955665,0.5862068965517241,1.10024,0.745753,1.206731,0.23696682464454977,0.2073732718894009,0.15384615384615385,117,129,119
35,0.40625,0.4114583333333333,0.4166666666666667,28.608762,27.457111,29.168077,0.9216589861751152,0.9227053140096618,0.912621359223301,78,79,80,0.6761904761904762,0.6857142857142857,0.638095238095238,3.035958111111111,2.336504825396826,3.317583,0.0,0.0,0.0,71,72,67,0.5467980295566502,0.6108374384236454,0.5862068965517241,1.184851,0.844672,1.073419,0.20100502512562815,0.20754716981132076,0.18226600985221675,111,124,119
