Slice,Metric,Normal_Val,Faulty_Val,Resilient_Val,Diff(Opt)
embb,Mean Throughput (Mbps),76.92,72.74,100.63,+27.88
embb,Loss Area,0.00,7632.68,696.69,+6935.99
embb,Gain Area,0.00,1342.39,36314.00,+34971.61
urllc,Max Interruption (s),0,270,76,+194.0
mmtc,Mean Connected Count,136.57,67.81,84.11,+16.29
