Time_Sec,embb_Norm_availability,embb_Fault_availability,embb_Res_availability,embb_Norm_throughput,embb_Fault_throughput,embb_Res_throughput,embb_Norm_blocking,embb_Fault_blocking,embb_Res_blocking,embb_Norm_connected_count,embb_Fault_connected_count,embb_Res_connected_count,urllc_Norm_availability,urllc_Fault_availability,urllc_Res_availability,urllc_Norm_throughput,urllc_Fault_throughput,urllc_Res_throughput,urllc_Norm_blocking,urllc_Fault_blocking,urllc_Res_blocking,urllc_Norm_connected_count,urllc_Fault_connected_count,urllc_Res_connected_count,mmtc_Norm_availability,mmtc_Fault_availability,mmtc_Res_availability,mmtc_Norm_throughput,mmtc_Fault_throughput,mmtc_Res_throughput,mmtc_Norm_blocking,mmtc_Fault_blocking,mmtc_Res_blocking,mmtc_Norm_connected_count,mmtc_Fault_connected_count,mmtc_Res_connected_count
10,0.7796610169491526,0.7966101694915254,0.7542372881355932,22.76986488372403,26.483808816354145,29.008913678173016,0.6739130434782609,0.4883720930232558,0.6521739130434783,92,94,89,0.6440677966101694,0.6949152542372882,0.7627118644067796,0.9822419999999997,1.817618,4.4522824530241785,0.0,0.0,0.0,38,41,45,0.5934959349593496,0.6666666666666666,0.6747967479674797,0.272827,0.470823,0.761991,0.0,0.0,0.0,73,82,83
11,0.788135593220339,0.7711864406779662,0.7711864406779662,27.085758988995664,25.90348451582492,24.426324904233898,0.5535714285714286,0.525,0.6226415094339622,93,91,91,0.6440677966101694,0.6949152542372882,0.7627118644067796,1.3137199248646927,1.804411,4.571886531785876,0.0,0.0,0.0,38,41,45,0.5853658536585366,0.6585365853658537,0.6666666666666666,0.306748,0.47677,0.685393,0.0,0.0,0.0,72,81,82
12,0.7796610169491526,0.7627118644067796,0.7711864406779662,24.51317988834382,27.474820125460983,30.52428938806467,0.5581395348837209,0.4897959183673469,0.5882352941176471,92,90,91,0.6779661016949152,0.6949152542372882,0.7288135593220338,1.3704119248646927,1.584965,4.591161625737518,0.0,0.0,0.0,40,41,43,0.5934959349593496,0.6585365853658537,0.6666666666666666,0.281087,0.536305,0.760864,0.0,0.0,0.0,73,81,82
13,0.7542372881355932,0.7711864406779662,0.7627118644067796,25.487624198780228,25.24766742576619,29.475630733222886,0.5333333333333333,0.5208333333333334,0.6136363636363636,89,91,90,0.6779661016949152,0.6949152542372882,0.7457627118644068,1.6744259999999997,2.059626,4.701704015189946,0.0,0.0,0.0,40,41,44,0.5853658536585366,0.6504065040650406,0.6829268292682927,0.327579,0.502853,0.832498,0.0,0.0,0.0,72,80,84
14,0.7711864406779662,0.8050847457627118,0.7542372881355932,24.785113415041735,25.552039874538988,31.674484652697576,0.6,0.5306122448979592,0.6153846153846154,91,95,89,0.6779661016949152,0.6779661016949152,0.7796610169491526,1.4921449999999998,1.7983788381430508,4.346235453024179,0.0,0.0,0.0,40,40,46,0.6016260162601627,0.6504065040650406,0.6910569105691057,0.351442,0.547125,0.783566,0.0,0.0,0.008547008547008548,74,80,85
15,0.7542372881355932,0.788135593220339,0.7796610169491526,24.284061854733036,25.21081006542879,34.44432118382914,0.5952380952380952,0.75,0.5283018867924528,89,93,92,0.6949152542372882,0.6779661016949152,0.7457627118644068,1.2282848381430505,1.980319,4.667577406560364,0.0,0.0,0.0,41,40,44,0.6097560975609756,0.6422764227642277,0.6829268292682927,0.357313,0.490923,0.842427,0.0,0.0,0.0,75,79,84
16,0.7796610169491526,0.788135593220339,0.788135593220339,24.91767223645369,24.400820884693903,31.33571214371335,0.4807692307692308,0.6666666666666666,0.5909090909090909,92,93,93,0.6949152542372882,0.6949152542372882,0.7457627118644068,1.4515099999999999,1.893794,4.697279889005438,0.0,0.0,0.0,41,41,44,0.6260162601626016,0.6422764227642277,0.6829268292682927,0.33616,0.477104,0.816361,0.0,0.008403361344537815,0.00847457627118644,77,79,84
17,0.788135593220339,0.788135593220339,0.788135593220339,24.686512505894015,24.237163469362475,32.597400381279805,0.5333333333333333,0.5952380952380952,0.575,93,93,93,0.6949152542372882,0.6949152542372882,0.7288135593220338,1.6835049999999998,1.679046,4.488438,0.0,0.0,0.0,41,41,43,0.6260162601626016,0.6504065040650406,0.6747967479674797,0.377329,0.433088,0.837891,0.0,0.00847457627118644,0.0,77,80,83
18,0.7711864406779662,0.7627118644067796,0.7966101694915254,27.891601582821213,28.598806562445702,29.82511082931363,0.6944444444444444,0.4772727272727273,0.5853658536585366,91,90,94,0.6949152542372882,0.6949152542372882,0.7627118644067796,1.7803709999999997,1.997992,4.572750389452428,0.0,0.0,0.0,41,41,45,0.6178861788617886,0.6504065040650406,0.6747967479674797,0.350115,0.477334,0.872063,0.0,0.0,0.0,76,80,83
19,0.788135593220339,0.7796610169491526,0.788135593220339,25.861410456510797,25.177803830158965,33.54705734688528,0.5952380952380952,0.625,0.5581395348837209,93,92,93,0.6949152542372882,0.711864406779661,0.7627118644067796,1.6359839999999997,2.085839323713899,4.527871531785876,0.0,0.0,0.0,41,42,45,0.6260162601626016,0.6504065040650406,0.6829268292682927,0.424873,0.547877,0.944969,0.0,0.0,0.00847457627118644,77,80,84
