Time_Sec,embb_Norm_availability,embb_Fault_availability,embb_Res_availability,embb_Norm_throughput,embb_Fault_throughput,embb_Res_throughput,embb_Norm_blocking,embb_Fault_blocking,embb_Res_blocking,embb_Norm_connected_count,embb_Fault_connected_count,embb_Res_connected_count,urllc_Norm_availability,urllc_Fault_availability,urllc_Res_availability,urllc_Norm_throughput,urllc_Fault_throughput,urllc_Res_throughput,urllc_Norm_blocking,urllc_Fault_blocking,urllc_Res_blocking,urllc_Norm_connected_count,urllc_Fault_connected_count,urllc_Res_connected_count,mmtc_Norm_availability,mmtc_Fault_availability,mmtc_Res_availability,mmtc_Norm_throughput,mmtc_Fault_throughput,mmtc_Res_throughput,mmtc_Norm_blocking,mmtc_Fault_blocking,mmtc_Res_blocking,mmtc_Norm_connected_count,mmtc_Fault_connected_count,mmtc_Res_connected_count
0,0.0,0.288135593220339,0.288135593220339,0.0,0.0,0.0,0.0,0.0,0.0,0,34,34,0.0,0.2711864406779661,0.2711864406779661,0.0,0.0,0.0,0.0,0.0,0.0,0,16,16,0.0,0.13821138211382114,0.13821138211382114,0.0,0.0,0.0,0.0,0.0,0.0,0,17,17
1,0.4745762711864407,0.7542372881355932,0.788135593220339,0.0,29.86666666666667,31.025000000000002,0.034482758620689655,0.3522727272727273,0.24050632911392406,56,89,93,0.5254237288135594,0.6779661016949152,0.6610169491525424,0.0,2.202485,2.143382,0.0,0.0,0.0,31,40,39,0.4796747967479675,0.6666666666666666,0.6829268292682927,0.0,0.55084,0.527415,0.0,0.0423728813559322,0.03389830508474576,59,82,84
2,0.7627118644067796,0.7627118644067796,0.788135593220339,31.908333333333342,28.71478533333334,29.403722000000005,0.5384615384615384,0.9696969696969697,0.9629629629629629,90,90,93,0.576271186440678,0.6610169491525424,0.6610169491525424,0.013521571428571362,2.054312,2.2486165714285713,0.0,0.0,0.0,34,39,39,0.5284552845528455,0.6747967479674797,0.6991869918699187,0.081972,0.509759,0.559753,0.072,0.03361344537815126,0.025,65,83,86
3,0.7627118644067796,0.7288135593220338,0.7711864406779662,30.563487333333335,26.482675000000004,30.665878,0.9696969696969697,0.6976744186046512,0.75,90,86,91,0.576271186440678,0.6610169491525424,0.6610169491525424,0.308482,1.8149205714285714,2.34766,0.0,0.0,0.0,34,39,39,0.5609756097560976,0.6829268292682927,0.6910569105691057,0.136781,0.494692,0.60236,0.040983606557377046,0.008620689655172414,0.008695652173913044,69,84,85
4,0.7627118644067796,0.7457627118644068,0.7966101694915254,27.873839666666676,28.19802933333335,31.635179000000004,0.6875,0.6153846153846154,0.5116279069767442,90,88,94,0.5932203389830508,0.6610169491525424,0.6610169491525424,0.494062,2.1442,2.47806,0.0,0.0,0.0,35,39,39,0.5691056910569106,0.6829268292682927,0.6829268292682927,0.167232,0.548086,0.659171,0.02564102564102564,0.0,0.0,70,84,84
5,0.7627118644067796,0.7542372881355932,0.7966101694915254,27.24893133333333,21.73082733333334,27.178300333333336,0.6666666666666666,0.559322033898305,0.4318181818181818,90,89,94,0.6101694915254238,0.6610169491525424,0.6779661016949152,0.896308,2.4042865714285715,2.580674,0.0,0.0,0.0,36,39,40,0.5691056910569106,0.6747967479674797,0.6910569105691057,0.186164,0.62743,0.707418,0.02564102564102564,0.008695652173913044,0.0,70,83,85
6,0.7796610169491526,0.7542372881355932,0.8220338983050848,23.81602533333334,22.524298000000005,33.25951833333333,0.5909090909090909,0.625,0.42857142857142855,92,89,97,0.6101694915254238,0.6271186440677966,0.6610169491525424,1.2473784285714287,1.783334,2.38763,0.0,0.0,0.0,36,37,39,0.5772357723577236,0.6585365853658537,0.6910569105691057,0.216412,0.539684,0.759233,0.0,0.0,0.008620689655172414,71,81,85
7,0.7457627118644068,0.7542372881355932,0.8135593220338984,25.661295333333342,27.191999666666675,30.091383,0.5686274509803921,0.6122448979591837,0.47058823529411764,88,89,96,0.6440677966101694,0.6271186440677966,0.6440677966101694,1.056215,2.313404,2.655656,0.0,0.0,0.0,38,37,38,0.5934959349593496,0.6422764227642277,0.7073170731707317,0.26221,0.609291,0.785907,0.008403361344537815,0.008620689655172414,0.0,73,79,87
8,0.7542372881355932,0.7627118644067796,0.8050847457627118,26.361590666666675,28.03694566666668,32.82308200000001,0.43548387096774194,0.627906976744186,0.43243243243243246,89,90,95,0.6440677966101694,0.6440677966101694,0.6440677966101694,0.737372,2.099357,2.518307571428571,0.0,0.0,0.0,38,38,38,0.5853658536585366,0.6422764227642277,0.7154471544715447,0.230917,0.58166,0.721116,0.0,0.0,0.00847457627118644,72,79,88
9,0.788135593220339,0.7627118644067796,0.8135593220338984,27.10066300000001,26.28478366666667,35.30965666666666,0.6052631578947368,0.6458333333333334,0.3448275862068966,93,90,96,0.6610169491525424,0.6440677966101694,0.6440677966101694,1.164809,2.4927224285714287,2.9112475714285715,0.0,0.0,0.0,39,38,38,0.5853658536585366,0.6422764227642277,0.7154471544715447,0.284776,0.585916,0.768775,0.008547008547008548,0.0,0.0,72,79,88
