Slice,Metric,Normal_Val,Faulty_Val,Resilient_Val,Diff(Res-Fault)
embb,Mean Throughput (Mbps),42.74,41.50,75.51,+34.01
embb,Loss Area,0.00,699.65,-18452.06,+19151.71
urllc,Max Interruption (s),0,23,8,+15
mmtc,Mean Connected Count,88.30,82.25,100.58,+18.33
mmtc,Mean Blocking,0.004,0.102,0.269,-0.167
